,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
0,0.0013,Rattachés,4.078,0.0304,0.004200000000000001,0.00398,EN 10270-3-1.4310,E,18538.0,0.0005819999999999999,0.0004,5.5,vd-063h-02,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00022
1,0.0032,Rattachés,5.63,0.1049,0.0128,0.0058,EN 10270-3-1.4310,E,804.0,0.001388,0.0004,8.5,vd-055a,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00252
2,0.063,Rattachés et meulés,716.601,1194.835,0.5,0.20751,EN 10270-3-1.4310,AU,2450.0,0.021942,0.0063,22.5,vd-374a,"{1: 14.6, 75: 5.29, 3: 9.09, 37: 5.41, 17: 6.33, 250: 4.86, 7: 7.44, 125: 5.24, 350: 4.66, 175: 5.06}",0.12835
3,0.01,Rattachés et meulés,67.85,4.4188,0.064,0.0299,EN 10270-1,F,1990.0,0.005019999999999999,0.00125,12.5,d-194,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.01257
4,0.008,Rattachés et meulés,18.1,0.5492,0.0145,0.00545,EN 10270-3-1.4310,G,2000.0,0.003914,0.0008,3.5,vd-123,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.0038599999999999997
5,0.0215,Rattachés et meulés,114.509,12.58,0.058,0.019600000000000003,EN 10270-1,M,2982.0,0.010182,0.002,5.5,d-239a-14,"{1: 3.02, 450: 0.43, 37: 1.0, 17: 1.28, 7: 2.52, 250: 0.5, 75: 0.86, 125: 0.57, 350: 0.46, 175: 0.54}",0.0178
6,0.0125,Rattachés et meulés,69.315,11.2452,0.0958,0.039259999999999996,EN 10270-3-1.4310,L,1226.0,0.005097000000000001,0.0015,18.5,vd-207j-39,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.02502
7,0.0056,Rattachés et meulés,26.213,1.0136,0.028,0.01421,EN 10270-1,C,1901.0,0.002176,0.0008,12.5,d-132b,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00753
8,0.032,Rattachés et meulés,321.343,35.1506,0.0585,0.024,EN 10270-1,L,9314.0,0.0158,0.0032,3.5,d-294,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.01297
9,0.08,Rattachés et meulés,877.643,340.6073,0.145,0.047,EN 10270-1,AH,8956.0,0.039629,0.0063,3.5,d-365,"{1: 11.7, 75: 2.07, 3: 5.94, 37: 2.16, 17: 2.61, 250: 1.92, 7: 4.12, 125: 2.01, 350: 1.86, 175: 1.98}",0.037630000000000004
10,0.016,Rattachés et meulés,77.53,16.377,0.165,0.06255,EN 10270-3-1.4310,L,757.0,0.008832000000000001,0.0016,18.5,vd-217,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.02698
11,0.004,Rattachés et meulés,30.72,0.2746,0.006900000000000001,0.00498,EN 10270-3-1.4310,G,16000.0,0.0017430000000000002,0.0008,3.5,vd-138,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00088
12,0.0032,Rattachés et meulés,11.11,0.0858,0.0055,0.00317,EN 10270-3-1.4310,F,4768.0,0.0014290000000000001,0.0005,3.5,vd-081,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00074
13,0.04,Rattachés et meulés,2836.024,1023.5617,0.275,0.19453,EN 10270-1,AS,35243.0,0.014432,0.008,18.5,d-414,"{1: 14.1, 75: 4.5, 3: 8.54, 37: 4.58, 17: 5.4, 250: 4.2, 7: 6.78, 125: 4.43, 350: 3.98, 175: 4.28}",0.032310000000000005
14,0.0025,Rattachés,7.487,0.0429,0.0047,0.00313,EN 10270-1,B,4769.0,0.001057,0.0004,3.5,d-059a,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.0005899999999999999
15,0.055,Rattachés et meulés,870.491,212.3969,0.085,0.040299999999999996,EN 10270-3-1.4310,AK,19474.0,0.02257,0.006,3.5,vd-364r-70,"{1: 12.2, 75: 2.58, 3: 6.39, 37: 2.64, 17: 3.24, 250: 2.4, 7: 4.67, 125: 2.51, 350: 2.32, 175: 2.47}",0.011
16,0.114,Rattachés et meulés,"
",2017.7701,0.25,"
",EN 10270-1,BE,18305.0,0.043455,0.011,5.5,d-472,"{1: 33.1, 75: 20.1, 3: 27.5, 37: 21.0, 17: 22.5, 250: 18.7, 7: 24.6, 125: 20.0, 350: 18.2, 175: 19.3}","
"
17,0.0063,Rattachés et meulés,23.497,1.1403,0.033,0.0154,EN 10270-1,C,1335.0,0.002576,0.0008,12.5,d-131,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.009810000000000001
18,0.02,Rattachés et meulés,216.048,49.9786,0.175,0.08145000000000001,EN 10270-3-1.4310,N,2309.0,0.009324,0.0025,18.5,vd-278,"{1: 3.1, 37: 1.09, 17: 1.36, 7: 2.6, 250: 0.54, 75: 0.93, 125: 0.65, 350: 0.52, 175: 0.59}",0.02409
19,0.0112,Rattachés et meulés,353.916,29.9704,0.0714,0.05707,EN 10270-3-1.4310,P,24698.0,0.004426,0.0028,15.5,vd-288x,"{1: 3.26, 37: 1.23, 17: 1.58, 7: 2.79, 75: 1.09, 125: 0.85, 175: 0.78}",0.00675
20,0.04,Rattachés et meulés,876.04,758.6254,0.28,0.18847999999999998,EN 10270-3-1.4310,AR,9572.0,0.012164,0.0063,22.5,vd-384a,"{1: 13.8, 75: 4.27, 3: 8.17, 37: 4.34, 17: 5.06, 250: 3.91, 7: 6.45, 125: 4.22, 350: 3.76, 175: 4.11}",0.05786
21,0.001,Rattachés,2.326,0.016,0.0078,0.0051600000000000005,EN 10270-1,C,881.0,0.000395,0.0002,18.5,d-011v,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.0009
22,0.0358,Rattachés et meulés,87.988,38.8639,0.228,0.04089,EN 10270-3-1.4310,N,470.0,0.023768,0.0022,9.5,vd-263g,"{1: 3.1, 37: 1.09, 17: 1.36, 7: 2.6, 250: 0.54, 75: 0.93, 125: 0.65, 350: 0.52, 175: 0.59}",0.0583
23,0.04,Rattachés et meulés,3102.193,1365.269,0.239,0.20383,EN 10270-3-1.4310,AX,88206.0,0.014773999999999999,0.01,15.5,vd-447,"{1: 15.7, 75: 5.84, 3: 10.0, 37: 5.99, 17: 6.93, 250: 5.48, 7: 8.39, 125: 5.76, 350: 5.18, 175: 5.59}",0.014539999999999999
24,0.054,Rattachés et meulés,2147.043,1492.9217,0.281,0.18972,EN 10270-3-1.4310,BB,23522.0,0.017547999999999998,0.009,15.5,vd-414m,"{1: 24.2, 75: 13.9, 3: 19.3, 37: 14.3, 17: 16.1, 250: 13.0, 7: 17.4, 125: 13.7, 350: 12.2, 175: 13.4}",0.02951
25,0.004,Rattachés et meulés,16.614,0.1703,0.0067,0.004,EN 10270-3-1.4310,F,6154.0,0.001734,0.00063,3.5,vd-106,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00101
26,0.0070999999999999995,Rattachés et meulés,5.688,0.1904,0.015,0.00381,EN 10270-1,B,508.0,0.004143,0.0005,3.5,d-063n,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00434
27,0.0635,Rattachés et meulés,227.534,137.9373,0.091,0.03417,EN 10270-3-1.4310,AG,4003.9999999999995,0.024714,0.0045,3.5,vd-339j-10,"{1: 11.4, 75: 1.93, 3: 5.61, 37: 2.03, 17: 2.4, 250: 1.79, 7: 3.82, 125: 1.86, 350: 1.73, 175: 1.83}",0.037090000000000005
28,0.0185,Rattachés et meulés,55.485,8.5244,0.08,0.0221,EN 10270-1,G,958.0,0.009236000000000001,0.0015,8.5,d-207j-72,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.0292
29,0.063,Rattachés et meulés,1085.58,268.2283,0.105,0.0458,EN 10270-1,AG,18338.0,0.0282,0.0063,3.5,d-370,"{1: 11.4, 75: 1.93, 3: 5.61, 37: 2.03, 17: 2.4, 250: 1.79, 7: 3.82, 125: 1.86, 350: 1.73, 175: 1.83}",0.022690000000000002
30,0.00845,Rattachés et meulés,8.349,0.2368,0.0185,0.00364,EN 10270-1,B,562.0,0.006527,0.00055,2.75,d-090e-02,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00325
31,0.0016,Rattachés,1.639,0.0131,0.0064,0.0029,EN 10270-1,C,468.0,0.000694,0.0002,8.5,d-011j,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00115
32,0.0057,Rattachés et meulés,52.228,2.279,0.0506,0.03015,EN 10270-3-1.4310,J,2554.0,0.0026810000000000002,0.001,18.5,vd-173cj,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.00484
33,0.0032,Rattachés,1.46,0.0215,0.0070999999999999995,0.0022,EN 10270-3-1.4310,D,298.0,0.00185,0.00025,3.5,vd-012a,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.00176
34,0.0016,Rattachés,1.675,0.0181,0.0092,0.00394,EN 10270-1,C,318.0,0.000696,0.0002,12.5,d-011k,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00165
35,0.0272,Rattachés et meulés,107.649,76.9444,0.135,0.06854,EN 10270-3-1.4310,T,1620.0,0.008012,0.0028,16.5,vd-288n-10,"{1: 3.52, 75: 1.6, 17: 2.05, 37: 1.66, 7: 3.1}",0.06044
36,0.0092,Rattachés et meulés,28.539,2.0626,0.026,0.01299,EN 10270-3-1.4310,G,2194.0,0.00332,0.0011,7.5,vd-180,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00808
37,0.0125,Rattachés et meulés,56.577,2.0951,0.027,0.01145,EN 10270-1,E,3638.0,0.007357,0.00125,3.5,d-186,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00563
38,0.0068,Rattachés et meulés,59.293,3.8337,0.042,0.027600000000000003,EN 10270-3-1.4310,J,4118.0,0.0024700000000000004,0.00125,16.5,vd-200d,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.0081
39,0.005,Rattachés et meulés,25.231,0.6553,0.0175,0.01002,EN 10270-3-1.4310,G,3373.0,0.001965,0.0008,8.5,vd-135,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00364
40,0.0028,Rattachés,6.737,0.1529,0.018,0.009210000000000001,EN 10270-1,B,766.0,0.0010969999999999999,0.0004,15.5,d-057d,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.0034
41,0.123,Rattachés et meulés,"
",2590.8905,0.28,"
",EN 10270-1,BF,20640.0,0.048727,0.012,5.5,d-520,"{1: 37.6, 75: 23.3, 3: 32.3, 37: 24.0, 17: 26.7, 250: 22.2, 7: 29.1, 125: 23.2, 350: 21.6, 175: 22.7}","
"
42,0.0094,Rattachés et meulés,110.859,2.5814,0.0157,0.01008,EN 10270-3-1.4310,J,19726.0,0.004029,0.0016,3.5,vd-227c,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.00114
43,0.0013,Rattachés,14.822,0.0832,0.0124,0.01009,EN 10270-1,B,6417.0,0.000616,0.0004,18.5,d-063h-05,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00054
44,0.0012,Rattachés,0.422,0.0069,0.0109,0.00347,EN 10270-3-1.4310,E,57.0,0.0005729999999999999,0.00011999999999999999,18.5,vd-2034,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00261
45,0.0161,Rattachés et meulés,340.027,20.9258,0.065,0.047850000000000004,EN 10270-3-1.4310,Q,19827.0,0.009569000000000001,0.0028,6.5,vd-288s-10,"{1: 3.31, 37: 1.39, 17: 1.75, 7: 2.84, 75: 1.29, 125: 0.98, 175: 0.92}",0.00437
46,0.009300000000000001,Rattachés et meulés,35.947,1.3604,0.025,0.00939,EN 10270-1,C,2303.0,0.004364,0.001,5.5,d-156,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00709
47,0.00577,Rattachés et meulés,14.472,0.3797,0.018,0.00674,EN 10270-1,B,1285.0,0.0026720000000000003,0.00063,6.5,d-100a-07,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00375
48,0.006,Rattachés et meulés,54.196,0.8777,0.015099999999999999,0.00878,EN 10270-1,C,8575.0,0.002564,0.001,5.5,d-173a,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00263
49,0.04,Rattachés et meulés,1233.161,170.3037,0.06,0.03996,EN 10270-3-1.4310,AF,61535.0,0.015343,0.0063,3.5,vd-380,"{1: 11.3, 75: 1.86, 3: 5.54, 37: 1.93, 17: 2.31, 250: 1.72, 7: 3.57, 125: 1.81, 350: 1.67, 175: 1.78}",0.005809999999999999
50,0.0053,Rattachés et meulés,46.213,2.0157,0.037,0.023239999999999997,EN 10270-3-1.4310,H,3358.0,0.002057,0.001,17.5,vd-173h,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.00625
51,0.0032,Rattachés,1.477,0.08,0.0341,0.0079,EN 10270-3-1.4310,D,56.0,0.0018089999999999998,0.00025,18.5,vd-016a,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.00926
52,0.0484,Rattachés et meulés,20.817,162.8187,0.038,0.03704,EN 10270-3-1.4310,AH,21685.0,0.009257,0.0056,3.5,vd-364r-40,"{1: 11.7, 75: 2.07, 3: 5.94, 37: 2.16, 17: 2.61, 250: 1.92, 7: 4.12, 125: 2.01, 350: 1.86, 175: 1.98}",0.0009599999999999999
53,0.0070999999999999995,Rattachés et meulés,4.745,0.2596,0.023,0.00592,EN 10270-3-1.4310,F,278.0,0.004091,0.0005,5.5,vd-063o,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.0079
54,0.004,Rattachés,5.386,0.0936,0.011699999999999999,0.00443,EN 10270-1,B,741.0,0.0019450000000000001,0.0004,5.5,d-049a,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.0024100000000000002
55,0.0036,Rattachés et meulés,26.576,0.2472,0.006,0.00496,EN 10270-1,C,25554.0,0.001486,0.0008,3.5,d-142aa,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00092
56,0.08,Rattachés et meulés,686.735,1517.2508,0.72,0.22704,EN 10270-1,AU,1393.0,0.03172,0.0063,22.5,d-369a,"{1: 14.6, 75: 5.29, 3: 9.09, 37: 5.41, 17: 6.33, 250: 4.86, 7: 7.44, 125: 5.24, 350: 4.66, 175: 5.06}",0.29444
57,0.0072,Rattachés et meulés,20.494,0.4943,0.0128,0.00533,EN 10270-3-1.4310,G,2743.0,0.0034289999999999998,0.0008,3.5,vd-127e-01,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00264
58,0.0032,Rattachés,1.475,0.0566,0.0233,0.00562,EN 10270-3-1.4310,D,83.0,0.001814,0.00025,12.5,vd-015a,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.00625
59,0.0099,Rattachés et meulés,97.88,6.9203,0.044,0.02693,EN 10270-1,H,5734.0,0.003533,0.0016,12.0,d-227a-05,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.01098
60,0.0129,Rattachés et meulés,33.665,3.1966,0.0654,0.01745,EN 10270-3-1.4310,H,702.0,0.0075650000000000005,0.0011,8.5,vd-179j-03,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.01375
61,0.0112,Rattachés et meulés,410.516,19.6948,0.045899999999999996,0.037149999999999996,EN 10270-1,L,46916.0,0.004537,0.0028,9.5,d-288w,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.00492
62,0.045200000000000004,Rattachés et meulés,136.038,120.9519,0.443,0.08095000000000001,EN 10270-3-1.4310,U,376.0,0.028399999999999998,0.0028,15.5,vd-288k,"{1: 3.63, 75: 1.73, 17: 2.22, 37: 1.79, 7: 3.16}",0.10672
63,0.023,Rattachés et meulés,104.07,11.6633,0.063,0.0223,EN 10270-3-1.4310,P,2557.0,0.013555999999999999,0.002,4.5,vd-239a-03,"{1: 3.26, 37: 1.23, 17: 1.58, 7: 2.79, 75: 1.09, 125: 0.85, 175: 0.78}",0.01043
64,0.0016,Rattachés,0.749,0.0116,0.01,0.00331,EN 10270-3-1.4310,E,112.0,0.000768,0.00016,12.5,vd-2059,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00237
65,0.008,Rattachés et meulés,230.862,10.9222,0.052,0.04076,EN 10270-1,F,20539.0,0.003226,0.002,15.5,d-263d,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.006030000000000001
66,0.0016,Rattachés,6.034,0.0655,0.012539999999999999,0.00826,EN 10270-1,B,1410.0,0.000635,0.00032,18.5,d-042f-05,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.0014299999999999998
67,0.00577,Rattachés et meulés,14.675,0.7817,0.051,0.0193,EN 10270-3-1.4310,H,463.0,0.00325,0.00063,15.5,vd-100a-03,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.0073
68,0.0053,Rattachés et meulés,40.511,2.3258,0.041,0.02687,EN 10270-3-1.4310,H,2867.0,0.001951,0.001,20.5,vd-173j,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.00788
69,0.0987,Rattachés et meulés,571.916,573.0331,0.291,0.07158,EN 10270-3-1.4310,AW,2606.0,0.051764000000000004,0.0063,5.5,vd-364t,"{1: 15.2, 75: 5.57, 3: 9.31, 37: 5.68, 17: 6.52, 250: 4.99, 7: 7.81, 125: 5.46, 350: 4.9, 175: 5.31}",0.0611
70,0.016,Rattachés et meulés,24.924,3.5887,0.115,0.0198,EN 10270-1,D,262.0,0.012,0.001,9.5,d-145g,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.03465
71,0.0072,Rattachés et meulés,82.01,7.0186,0.064,0.0426,EN 10270-3-1.4310,J,3832.0,0.002664,0.0014,23.5,vd-207d-07,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.011380000000000001
72,0.0129,Rattachés et meulés,33.682,4.4143,0.09620000000000001,0.02565,EN 10270-3-1.4310,J,477.0,0.007607999999999999,0.0011,12.5,vd-179j-04,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.01968
73,0.0282,Rattachés et meulés,63.751,31.1855,0.294,0.05275,EN 10270-3-1.4310,N,264.0,0.018852,0.0018,15.5,vd-232j,"{1: 3.1, 37: 1.09, 17: 1.36, 7: 2.6, 250: 0.54, 75: 0.93, 125: 0.65, 350: 0.52, 175: 0.59}",0.0782
74,0.002,Rattachés,1.379,0.0226,0.0126,0.00414,EN 10270-1,A,163.0,0.000968,0.0002,12.5,d-010a,"{1: 2.52, 450: 0.05, 37: 0.33, 17: 0.62, 7: 1.5, 250: 0.08, 75: 0.17, 125: 0.13, 350: 0.06, 175: 0.1}",0.00267
75,0.0272,Rattachés et meulés,214.291,72.7852,0.189,0.06472,EN 10270-3-1.4310,T,1724.0,0.012013,0.0028,15.5,vd-288o,"{1: 3.52, 75: 1.6, 17: 2.05, 37: 1.66, 7: 3.1}",0.036789999999999996
76,0.00237,Rattachés et meulés,27.18,0.1376,0.0066,0.00536,EN 10270-1,B,21919.0,0.001085,0.00063,5.5,d-115b,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00045
77,0.025,Rattachés et meulés,506.041,91.4243,0.05,0.04317,EN 10270-1,AB,74091.0,0.008182,0.005,5.5,d-360a,"{1: 10.5, 75: 1.31, 3: 4.88, 37: 1.35, 17: 1.62, 250: 1.19, 7: 2.93, 125: 1.24, 350: 1.16, 175: 1.22}",0.00683
78,0.022,Rattachés et meulés,12.602,7.6892,0.0275,0.0158,EN 10270-3-1.4310,J,1077.0,0.00518,0.0016,5.0,vd-207p,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.011699999999999999
79,0.0235,Rattachés et meulés,2449.782,319.5205,0.15,0.12465000000000001,EN 10270-1,AG,96638.0,0.009897,0.0065,14.5,d-389aa,"{1: 11.4, 75: 1.93, 3: 5.61, 37: 2.03, 17: 2.4, 250: 1.79, 7: 3.82, 125: 1.86, 350: 1.73, 175: 1.83}",0.009980000000000001
80,0.0072,Rattachés et meulés,229.219,4.3224,0.026,0.02,EN 10270-1,G,38203.0,0.003227,0.0018,7.5,d-234d-10,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00227
81,0.0282,Rattachés et meulés,74.625,9.8011,0.0691,0.01433,EN 10270-1,G,1363.0,0.019229,0.0018,3.5,d-232f,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.0208
82,0.01,Rattachés et meulés,206.0,4.2908,0.018,0.01285,EN 10270-3-1.4310,J,40000.0,0.0045709999999999995,0.002,3.5,vd-258,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.00136
83,0.04,Rattachés et meulés,162.139,163.7699,0.275,0.09529,EN 10270-1,P,902.0,0.014692,0.0032,18.5,d-292a,"{1: 3.26, 37: 1.23, 17: 1.58, 7: 2.79, 75: 1.09, 125: 0.85, 175: 0.78}",0.15133000000000002
84,0.0008,Rattachés,0.693,0.0033,0.0044,0.0023,EN 10270-1,C,330.0,0.000328,0.00011999999999999999,12.5,d-2044,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00067
85,0.02,Rattachés et meulés,127.342,49.9786,0.12,0.06486,EN 10270-3-1.4310,N,2309.0,0.006351,0.0025,18.5,vd-277a,"{1: 3.1, 37: 1.09, 17: 1.36, 7: 2.6, 250: 0.54, 75: 0.93, 125: 0.65, 350: 0.52, 175: 0.59}",0.04144
86,0.005,Rattachés et meulés,10.802,0.9483,0.0385,0.01957,EN 10270-1,C,571.0,0.001683,0.00063,22.5,d-105a,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.0129
