,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
390,0.01,Rattachés et meulés,26.7,1.0727,0.0175,0.0068200000000000005,EN 10270-3-1.4310,G,2500.0,0.004714,0.001,3.5,vd-151,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.005019999999999999
391,0.008,Rattachés et meulés,157.185,8.1885,0.0655,0.0432,EN 10270-1,G,7049.0,0.003454,0.0016,18.5,d-232,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00809
392,0.00325,Rattachés et meulés,37.325,0.4992,0.017,0.012230000000000001,EN 10270-1,D,7825.0,0.0013540000000000002,0.00075,12.0,d-117h-70,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.00155
393,0.063,Rattachés et meulés,338.024,629.7303,0.395,0.14942,EN 10270-1,AJ,1376.0,0.021081,0.005,18.5,d-343a,"{1: 11.9, 75: 2.4, 3: 6.21, 37: 2.45, 17: 2.88, 250: 2.22, 7: 4.3, 125: 2.32, 350: 2.16, 175: 2.29}",0.2308
394,0.0032,Rattachés et meulés,16.183,0.2601,0.011,0.007730000000000001,EN 10270-3-1.4310,F,4949.0,0.00122,0.00063,8.5,vd-113,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00184
395,0.0032,Rattachés,2.927,0.131,0.0286,0.00926,EN 10270-3-1.4310,D,151.0,0.001503,0.00032,18.5,vd-037,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.0072699999999999996
396,0.089,Rattachés et meulés,"
",1575.2767,0.2,"
",EN 10270-1,BE,38469.0,0.034364,0.011,5.5,d-482,"{1: 33.1, 75: 20.1, 3: 27.5, 37: 21.0, 17: 22.5, 250: 18.7, 7: 24.6, 125: 20.0, 350: 18.2, 175: 19.3}","
"
397,0.0325,Rattachés et meulés,23.403,7.8442,0.0691,0.01458,EN 10270-1,G,429.0,0.019314,0.0015,3.5,d-207jf,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.04814
398,0.045,Rattachés et meulés,4032.922,833.7893,0.238,0.2065,EN 10270-3-1.4310,AX,128029.0,0.0304,0.01,7.5,vd-445d,"{1: 15.7, 75: 5.84, 3: 10.0, 37: 5.99, 17: 6.93, 250: 5.48, 7: 8.39, 125: 5.76, 350: 5.18, 175: 5.59}",0.0040999999999999995
399,0.141,Rattachés et meulés,1242.412,1225.1437,0.254,0.07163,EN 10270-1,AW,6813.0,0.07,0.009,3.5,d-414a,"{1: 15.2, 75: 5.57, 3: 9.31, 37: 5.68, 17: 6.52, 250: 4.99, 7: 7.81, 125: 5.46, 350: 4.9, 175: 5.31}",0.08317000000000001
