,B,Bague_depaulement,C,C0,C2,D,D1,D3,Da_max,Da_min,Db_min,EF,Mass,Pu,Vmax,Vref,Y,b,b1,d,d1,da_max,da_min,db_min,e,h,kr,name,r12_min,r34_min,ra_max,rb_max,s_max
17,0.045,0,429000.0,950000.0,0.0,0.68,0.0,0.0,0.667,0.647,0.0,0.645,31.5,62000.0,335.1032163829113,209.43951023931953,0.0,0.0,0.0,0.56,0.606,0.639,0.5730000000000001,0.0,0.2,0.0,0.02,316053,0.003,0.0,0.0025,0.0,0.0058
18,0.045,0,396000.0,830000.0,0.0,0.62,0.0,0.0,0.608,0.585,0.0,0.584,29.0,45500.0,104.71975511965977,104.71975511965977,0.0,0.0,0.0,0.5,0.545,0.579,0.512,0.0,0.2,0.0,0.03,316198,0.0021000000000000003,0.0,0.002,0.0,0.005200000000000001
19,0.074,0,935000.0,2120000.0,0.0,1.03,0.0,0.0,1.012,0.996,0.0,0.978,115.0,122000.0,167.55160819145564,125.66370614359172,0.0,0.0,0.0,0.85,0.917,0.978,0.868,0.0,0.2,0.0,0.02,316200,0.005,0.0,0.004,0.0,0.0075
20,0.10400000000000001,0,1650000.0,3800000.0,0.0,1.36,0.0,0.0,1.337,1.299,0.0,1.292,285.0,224000.0,29.321531433504735,23.038346126325152,0.0,0.0,0.0,1.12,1.209,1.285,1.143,0.0,0.2,0.0,0.02,316201,0.006,0.0,0.005,0.0,0.014400000000000001
21,0.1,0,1510000.0,3450000.0,0.0,1.28,0.0,0.0,1.2570000000000001,1.228,0.0,1.22,259.0,220000.0,0.0,0.0,0.6,0.0,0.0,1.06,1.1400000000000001,1.213,1.083,0.0,0.2,0.0,0.0,316789_HA1,0.006,0.0,0.005,0.0,0.0115
22,0.085,0,1120000.0,2550000.0,0.0,1.09,0.0,0.0,1.072,1.045,0.0,1.038,145.0,156000.0,157.07963267948966,115.19173063162575,0.0,0.0,0.0,0.9,0.971,1.03,0.918,0.0,0.2,0.0,0.03,319161,0.005,0.0,0.004,0.0,0.008
23,0.16,0,3690000.0,9150000.0,0.0,2.06,0.0,0.0,2.032,1.975,0.0,1.96,902.0,490000.0,20.943951023931955,16.755160819145562,0.0,0.0,0.0,1.7,1.832,1.955,1.728,0.0,0.2,0.0,0.03,319286,0.0075,0.0,0.006,0.0,0.0225
24,0.14,0,3300000.0,8000000.0,0.0,1.82,0.0,0.0,1.792,1.748,0.0,1.738,653.0,440000.0,27.227136331111538,20.943951023931955,0.0,0.0,0.0,1.5,1.618,1.728,1.528,0.0,0.2,0.0,0.03,319301,0.0075,0.0,0.006,0.0,0.0185
25,0.10795,0,3080000.0,6550000.0,0.0,0.8636,0.804,0.0,0.643,0.0,0.0,0.704,173.0,455000.0,70.16223593017205,58.64306286700947,0.6,0.0,0.0,0.6604,0.728,0.0,0.68,0.734,0.2,0.0,0.11,464777,0.005,0.0,0.004,0.0,0.0
26,0.046,0,572000.0,1180000.0,0.0,0.5,0.465,0.0,0.49,0.0,0.0,0.423,22.0,96500.0,136.1356816555577,115.19173063162575,0.0,0.0,0.0,0.399872,0.433,0.419,0.404,0.436,0.2,0.0,0.05,BC1-8028,0.0021000000000000003,0.0,0.002,0.0,0.0033
27,0.1,0,1510000.0,3450000.0,0.0,1.25,0.0,0.0,1.224,1.198,0.0,1.19,225.0,173000.0,39.79350694547072,33.510321638291124,0.0,0.0,0.0,1.03,1.11,1.178,1.056,0.0,0.2,0.0,0.03,BC1B_319579,0.006,0.0,0.005,0.0,0.013000000000000001
28,0.045,0,429000.0,950000.0,0.0,0.68,0.638,0.0,0.667,0.0,0.647,0.645,32.0,62000.0,335.1032163829113,209.43951023931953,0.6,0.0,0.0,0.56,0.606,0.0,0.5730000000000001,0.0,0.2,0.0,0.02,BC1B_320938_HB3,0.003,0.0,0.0025,0.0,0.008199999999999999
29,0.1651,0,2920000.0,5000000.0,0.0,0.5,0.429,0.0,0.483,0.0,0.0,0.334,160.0,430000.0,157.07963267948966,125.66370614359172,0.0,0.0,0.0,0.28,0.0,0.326,0.297,0.338,0.3,0.0,0.32,BC1B_322312,0.004,0.0,0.003,0.0,0.0105
30,0.16,0,3690000.0,9150000.0,0.0,2.06,1.937,0.0,2.032,0.0,1.975,1.96,935.0,490000.0,20.943951023931955,16.755160819145562,0.6,0.0,0.0,1.7,1.832,0.0,1.728,0.0,0.2,0.0,0.03,BC1B_322416_HA1,0.0075,0.0,0.006,0.0,0.004
31,0.04,0,270000.0,520000.0,0.0,0.48,0.444,0.0,0.468,0.0,0.456,0.451,18.5,42500.0,136.1356816555577,115.19173063162575,0.6,0.0,0.0,0.38,0.418,0.0,0.392,0.0,0.2,0.0,0.03,BC1B_322770_A_HB1,0.0021000000000000003,0.0,0.002,0.0,0.002
32,0.017462000000000002,0,44600.0,40000.0,0.0,0.06985,0.0,0.0,0.064,0.064,0.0,0.0628,0.28,5100.0,1256.6370614359173,1047.1975511965977,0.6,0.0,0.0,0.03175,0.0454,0.061200000000000004,0.042,0.0,0.2,0.0,0.0,CRL_10_A,0.0016,0.0016,0.0015,0.0015,0.001
33,0.026988,0,145000.0,163000.0,0.0,0.14605,0.0,0.0,0.161,0.16,0.0,0.129,1.9,20800.0,586.4306286700946,502.6548245743669,0.6,0.0,0.0,0.0762,0.1,0.155,0.093,0.0,0.2,0.0,0.0,CRL_24_A,0.0024,0.0024,0.003,0.003,0.002
34,0.028575,0,165000.0,193000.0,0.0,0.1651,0.0,0.0,0.1505,0.148,0.0,0.146,2.5,24000.0,523.5987755982989,450.294947014537,0.6,0.0,0.0,0.0889,0.1161,0.14300000000000002,0.10300000000000001,0.0,0.2,0.0,0.0,CRL_28_A,0.0032,0.0032,0.0025,0.0025,0.002
35,0.03175,0,233000.0,280000.0,0.0,0.18415,0.0,0.0,0.1695,0.167,0.0,0.165,3.7,33500.0,450.294947014537,376.99111843077515,0.6,0.0,0.0,0.1016,0.13,0.162,0.116,0.0,0.2,0.0,0.0,CRL_32_AMB,0.0032,0.0032,0.0025,0.0025,0.0015
36,0.033337000000000006,0,264000.0,325000.0,0.0,0.2032,0.0,0.0,0.188,0.184,0.0,0.18180000000000002,4.65,38000.0,418.87902047863906,356.0471674068432,0.6,0.0,0.0,0.1143,0.145,0.179,0.128,0.0,0.2,0.0,0.0,CRL_36_AMB,0.0032,0.0032,0.0025,0.0025,0.0015
37,0.034925,0,297000.0,380000.0,0.0,0.2286,0.0,0.0,0.214,0.20500000000000002,0.0,0.2018,6.5,42500.0,356.0471674068432,314.1592653589793,0.6,0.0,0.0,0.127,0.1635,0.199,0.14100000000000001,0.0,0.2,0.0,0.0,CRL_40_AMB,0.0032,0.0032,0.0025,0.0025,0.0015
38,0.03175,0,138000.0,137000.0,0.0,0.127,0.0,0.0,0.113,0.113,0.0,0.111,1.7,18000.0,733.0382858376183,555.0147021341968,0.6,0.0,0.0,0.05715,0.08040000000000001,0.109,0.07100000000000001,0.0,0.2,0.0,0.0,CRM_18_A,0.0032,0.0032,0.003,0.003,0.002
39,0.03175,0,138000.0,143000.0,0.0,0.1397,0.0,0.0,0.126,0.123,0.0,0.1215,2.15,18300.0,659.7344572538566,502.6548245743669,0.6,0.0,0.0,0.0635,0.091,0.11900000000000001,0.078,0.0,0.2,0.0,0.0,CRM_20_A,0.0032,0.0032,0.003,0.003,0.002
40,0.034925,0,212000.0,224000.0,0.0,0.15875,0.0,0.0,0.145,0.14,0.0,0.138,3.15,28000.0,586.4306286700946,450.294947014537,0.6,0.0,0.0,0.06985,0.09920000000000001,0.135,0.082,0.0,0.2,0.0,0.0,CRM_22_A,0.0032,0.0032,0.0025,0.0025,0.002
41,0.039688,0,281000.0,305000.0,0.0,0.1778,0.0,0.0,0.161,0.16,0.0,0.158,4.55,37500.0,502.6548245743669,397.93506945470716,0.6,0.0,0.0,0.0762,0.11270000000000001,0.155,0.093,0.0,0.2,0.0,0.0,CRM_24_A,0.004,0.004,0.003,0.003,0.0026000000000000003
