% # columns="iter, evals, sigma, 0, fitness, xbest" seed=628995, Tue Aug  4 12:02:44 2020, <python>{}</python>
1 10 0.09141871700946258 0 20348.53847689283 0.00757394312553302 0.025159580391551074 -0.37022797953525677 0.15728516380773772 -0.3602666012300709 0.31553715549745 -0.32892389930800625 0.40178508412256353 -0.2848356538285685
2 20 0.09065182969195974 0 31857.16002161701 0.00021663879759813493 0.0005974348835843423 -0.28613043388138604 0.3645402586681176 -0.20226791898793028 0.1900533512589383 -0.19506629851348334 0.5595560537065354 -0.3457644744988004
3 30 0.0908901139688522 0 3078.4308431678587 0.014892643880229955 0.016308881078545303 -0.08852401676177363 0.22510539294715814 -0.34533109615557933 0.19138382283647803 -0.1820287969617272 0.5678523033114777 -0.3879377737977751
4 40 0.08642712490247777 0 91.51105727506359 0.02525950982811052 0.029248321732549393 -0.3267688047327717 0.24568640783092233 -0.4483135371171254 0.15271019341058145 -0.28223557588675324 0.5690147268212301 -0.31297795316238797
5 50 0.08941568116609998 0 112.94881176756812 0.021541288372613498 0.01869887689477043 -0.2030603577143238 0.2419037101820667 -0.33609887120599774 -0.028254090931414816 -0.22417738276318158 0.34686553506752105 -0.41699953707817694
6 60 0.08782142778342907 0 202.81123908689105 0.03174691918169919 0.02869946503428985 -0.2854858943919505 0.30864829339425687 -0.4396574223289207 -0.1260743119122568 -0.299948629125955 0.4593402081011062 -0.4408594783559534
7 70 0.09236171747020859 0 3465.711099635534 0.01989764300293853 0.027932981624817055 -0.05930834452217487 0.3938639913305401 -0.45588634897031854 -0.06495217264386444 -0.3721017083120849 0.2881139970415343 -0.43582479086481896
8 80 0.09787672388463073 0 3789.4308127023273 0.01603566635278575 0.020919007573498613 0.02865530377291743 0.24203830482714486 -0.44369068952331214 0.10302152046368232 -0.3993944277836281 0.48538214080010106 -0.4085538817626348
9 90 0.10885831201123543 0 9171.66013043717 0.0025585665231329874 0.02635936353116251 0.11307991244535655 0.4732099958015158 -0.5511100247894569 -0.022324409674918107 -0.5048905307746226 0.37859377262447497 -0.41082410508396117
10 100 0.10938025382348121 0 7206.722101920431 0.007383358149039003 0.033930916759732706 0.2039139370615947 0.2942355871838509 -0.59410548782402 0.07881897395555154 -0.39636101852995087 0.25361171253679915 -0.5392707816534609
11 110 0.10397291451673131 0 9939.139448272248 0.0005253152472303972 0.021027102614346597 0.0023578787051506123 0.2724754583419184 -0.2287738915667275 -0.16453188651589207 -0.4436750908987205 0.3528497215482446 -0.4237117032658468
12 120 0.09959166008395691 0 2876.648896805187 0.014554481613641137 0.02698780697270354 0.24089261828716835 0.22991534056417912 -0.3890586266117698 0.15242828034828115 -0.43757249113588687 0.42415307115536977 -0.29908944586038877
13 130 0.08834638811738511 0 8292.779228118081 0.004047832023518276 0.03098815854793363 0.12171431703497632 0.2610843053054608 -0.48183069866609507 0.04727802560271746 -0.4421972177075804 0.25093635032127276 -0.3302677306141842
14 140 0.08405381925570216 0 6076.968973258206 0.008888162441384758 0.041153263213373106 -0.003066290416886469 0.5101271565676337 -0.40381299862864173 -0.011885744381927278 -0.41196151608274567 0.3284923878794613 -0.3966175098630105
15 150 0.07669958193837283 0 11154.678685057523 0.0012923148864491707 0.018687348919253714 0.0580418457932014 0.39465916286980307 -0.49434297025213164 -0.11392764948282705 -0.4504897296121767 0.18998146241380726 -0.5159864892174415
16 160 0.07467081727215327 0 4720.952758390532 0.011208595525928653 0.029941125791012647 -0.08066996577212311 0.4304883834490527 -0.5909272410961715 -0.08029055274779545 -0.4498757195225811 0.3072729648346788 -0.4498686997903204
17 170 0.07749050315674606 0 15038.262622430098 0.0007920822884401872 0.011507841148290524 -0.2153875162613016 0.3702342787440516 -0.3727935880873078 -0.015686898202079018 -0.2645788786664286 0.24171753755445316 -0.4432672939612873
